IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.172.37,4,4,0.00,65.59,4.11,HKG
104.19.52.6,4,4,0.00,150.59,2.06,HKG
104.17.185.177,4,4,0.00,116.07,1.54,HKG
104.17.177.172,4,3,0.25,138.83,1.38,HKG
104.18.33.6,4,4,0.00,111.31,1.15,HKG
104.17.29.170,4,4,0.00,113.27,1.08,HKG
104.17.169.138,4,4,0.00,83.36,0.91,HKG
104.16.148.147,4,3,0.25,138.60,0.90,HKG
91.193.58.142,4,4,0.00,211.84,0.64,LAX
104.17.53.44,4,3,0.25,183.32,0.51,HKG
104.19.151.190,4,4,0.00,116.12,0.51,HKG
104.16.249.223,4,4,0.00,121.41,0.50,HKG
104.16.151.103,4,4,0.00,135.26,0.49,HKG
104.19.50.49,4,3,0.25,59.74,0.47,HKG
104.17.54.80,4,4,0.00,113.58,0.40,HKG
104.17.29.79,4,4,0.00,85.47,0.40,HKG
91.193.59.136,4,4,0.00,212.02,0.34,LAX
91.193.59.101,4,4,0.00,214.80,0.33,LAX
172.66.2.137,4,4,0.00,104.40,0.00,N/A
